product_id,display_name,description,price_usd
com.iacompa.sonidea.tip.001,Tip $1,Support Sonidea (consumable).,1.00
com.iacompa.sonidea.tip.002,Tip $2,Support Sonidea (consumable).,2.00
com.iacompa.sonidea.tip.003,Tip $3,Support Sonidea (consumable).,3.00
com.iacompa.sonidea.tip.004,Tip $4,Support Sonidea (consumable).,4.00
com.iacompa.sonidea.tip.005,Tip $5,Support Sonidea (consumable).,5.00
com.iacompa.sonidea.tip.006,Tip $6,Support Sonidea (consumable).,6.00
com.iacompa.sonidea.tip.007,Tip $7,Support Sonidea (consumable).,7.00
com.iacompa.sonidea.tip.008,Tip $8,Support Sonidea (consumable).,8.00
com.iacompa.sonidea.tip.009,Tip $9,Support Sonidea (consumable).,9.00
com.iacompa.sonidea.tip.010,Tip $10,Support Sonidea (consumable).,10.00
com.iacompa.sonidea.tip.011,Tip $11,Support Sonidea (consumable).,11.00
com.iacompa.sonidea.tip.012,Tip $12,Support Sonidea (consumable).,12.00
com.iacompa.sonidea.tip.013,Tip $13,Support Sonidea (consumable).,13.00
com.iacompa.sonidea.tip.014,Tip $14,Support Sonidea (consumable).,14.00
com.iacompa.sonidea.tip.015,Tip $15,Support Sonidea (consumable).,15.00
com.iacompa.sonidea.tip.016,Tip $16,Support Sonidea (consumable).,16.00
com.iacompa.sonidea.tip.017,Tip $17,Support Sonidea (consumable).,17.00
com.iacompa.sonidea.tip.018,Tip $18,Support Sonidea (consumable).,18.00
com.iacompa.sonidea.tip.019,Tip $19,Support Sonidea (consumable).,19.00
com.iacompa.sonidea.tip.020,Tip $20,Support Sonidea (consumable).,20.00
com.iacompa.sonidea.tip.021,Tip $21,Support Sonidea (consumable).,21.00
com.iacompa.sonidea.tip.022,Tip $22,Support Sonidea (consumable).,22.00
com.iacompa.sonidea.tip.023,Tip $23,Support Sonidea (consumable).,23.00
com.iacompa.sonidea.tip.024,Tip $24,Support Sonidea (consumable).,24.00
com.iacompa.sonidea.tip.025,Tip $25,Support Sonidea (consumable).,25.00
com.iacompa.sonidea.tip.026,Tip $26,Support Sonidea (consumable).,26.00
com.iacompa.sonidea.tip.027,Tip $27,Support Sonidea (consumable).,27.00
com.iacompa.sonidea.tip.028,Tip $28,Support Sonidea (consumable).,28.00
com.iacompa.sonidea.tip.029,Tip $29,Support Sonidea (consumable).,29.00
com.iacompa.sonidea.tip.030,Tip $30,Support Sonidea (consumable).,30.00
com.iacompa.sonidea.tip.031,Tip $31,Support Sonidea (consumable).,31.00
com.iacompa.sonidea.tip.032,Tip $32,Support Sonidea (consumable).,32.00
com.iacompa.sonidea.tip.033,Tip $33,Support Sonidea (consumable).,33.00
com.iacompa.sonidea.tip.034,Tip $34,Support Sonidea (consumable).,34.00
com.iacompa.sonidea.tip.035,Tip $35,Support Sonidea (consumable).,35.00
com.iacompa.sonidea.tip.036,Tip $36,Support Sonidea (consumable).,36.00
com.iacompa.sonidea.tip.037,Tip $37,Support Sonidea (consumable).,37.00
com.iacompa.sonidea.tip.038,Tip $38,Support Sonidea (consumable).,38.00
com.iacompa.sonidea.tip.039,Tip $39,Support Sonidea (consumable).,39.00
com.iacompa.sonidea.tip.040,Tip $40,Support Sonidea (consumable).,40.00
com.iacompa.sonidea.tip.041,Tip $41,Support Sonidea (consumable).,41.00
com.iacompa.sonidea.tip.042,Tip $42,Support Sonidea (consumable).,42.00
com.iacompa.sonidea.tip.043,Tip $43,Support Sonidea (consumable).,43.00
com.iacompa.sonidea.tip.044,Tip $44,Support Sonidea (consumable).,44.00
com.iacompa.sonidea.tip.045,Tip $45,Support Sonidea (consumable).,45.00
com.iacompa.sonidea.tip.046,Tip $46,Support Sonidea (consumable).,46.00
com.iacompa.sonidea.tip.047,Tip $47,Support Sonidea (consumable).,47.00
com.iacompa.sonidea.tip.048,Tip $48,Support Sonidea (consumable).,48.00
com.iacompa.sonidea.tip.049,Tip $49,Support Sonidea (consumable).,49.00
com.iacompa.sonidea.tip.050,Tip $50,Support Sonidea (consumable).,50.00
com.iacompa.sonidea.tip.051,Tip $51,Support Sonidea (consumable).,51.00
com.iacompa.sonidea.tip.052,Tip $52,Support Sonidea (consumable).,52.00
com.iacompa.sonidea.tip.053,Tip $53,Support Sonidea (consumable).,53.00
com.iacompa.sonidea.tip.054,Tip $54,Support Sonidea (consumable).,54.00
com.iacompa.sonidea.tip.055,Tip $55,Support Sonidea (consumable).,55.00
com.iacompa.sonidea.tip.056,Tip $56,Support Sonidea (consumable).,56.00
com.iacompa.sonidea.tip.057,Tip $57,Support Sonidea (consumable).,57.00
com.iacompa.sonidea.tip.058,Tip $58,Support Sonidea (consumable).,58.00
com.iacompa.sonidea.tip.059,Tip $59,Support Sonidea (consumable).,59.00
com.iacompa.sonidea.tip.060,Tip $60,Support Sonidea (consumable).,60.00
com.iacompa.sonidea.tip.061,Tip $61,Support Sonidea (consumable).,61.00
com.iacompa.sonidea.tip.062,Tip $62,Support Sonidea (consumable).,62.00
com.iacompa.sonidea.tip.063,Tip $63,Support Sonidea (consumable).,63.00
com.iacompa.sonidea.tip.064,Tip $64,Support Sonidea (consumable).,64.00
com.iacompa.sonidea.tip.065,Tip $65,Support Sonidea (consumable).,65.00
com.iacompa.sonidea.tip.066,Tip $66,Support Sonidea (consumable).,66.00
com.iacompa.sonidea.tip.067,Tip $67,Support Sonidea (consumable).,67.00
com.iacompa.sonidea.tip.068,Tip $68,Support Sonidea (consumable).,68.00
com.iacompa.sonidea.tip.069,Tip $69,Support Sonidea (consumable).,69.00
com.iacompa.sonidea.tip.070,Tip $70,Support Sonidea (consumable).,70.00
com.iacompa.sonidea.tip.071,Tip $71,Support Sonidea (consumable).,71.00
com.iacompa.sonidea.tip.072,Tip $72,Support Sonidea (consumable).,72.00
com.iacompa.sonidea.tip.073,Tip $73,Support Sonidea (consumable).,73.00
com.iacompa.sonidea.tip.074,Tip $74,Support Sonidea (consumable).,74.00
com.iacompa.sonidea.tip.075,Tip $75,Support Sonidea (consumable).,75.00
com.iacompa.sonidea.tip.076,Tip $76,Support Sonidea (consumable).,76.00
com.iacompa.sonidea.tip.077,Tip $77,Support Sonidea (consumable).,77.00
com.iacompa.sonidea.tip.078,Tip $78,Support Sonidea (consumable).,78.00
com.iacompa.sonidea.tip.079,Tip $79,Support Sonidea (consumable).,79.00
com.iacompa.sonidea.tip.080,Tip $80,Support Sonidea (consumable).,80.00
com.iacompa.sonidea.tip.081,Tip $81,Support Sonidea (consumable).,81.00
com.iacompa.sonidea.tip.082,Tip $82,Support Sonidea (consumable).,82.00
com.iacompa.sonidea.tip.083,Tip $83,Support Sonidea (consumable).,83.00
com.iacompa.sonidea.tip.084,Tip $84,Support Sonidea (consumable).,84.00
com.iacompa.sonidea.tip.085,Tip $85,Support Sonidea (consumable).,85.00
com.iacompa.sonidea.tip.086,Tip $86,Support Sonidea (consumable).,86.00
com.iacompa.sonidea.tip.087,Tip $87,Support Sonidea (consumable).,87.00
com.iacompa.sonidea.tip.088,Tip $88,Support Sonidea (consumable).,88.00
com.iacompa.sonidea.tip.089,Tip $89,Support Sonidea (consumable).,89.00
com.iacompa.sonidea.tip.090,Tip $90,Support Sonidea (consumable).,90.00
com.iacompa.sonidea.tip.091,Tip $91,Support Sonidea (consumable).,91.00
com.iacompa.sonidea.tip.092,Tip $92,Support Sonidea (consumable).,92.00
com.iacompa.sonidea.tip.093,Tip $93,Support Sonidea (consumable).,93.00
com.iacompa.sonidea.tip.094,Tip $94,Support Sonidea (consumable).,94.00
com.iacompa.sonidea.tip.095,Tip $95,Support Sonidea (consumable).,95.00
com.iacompa.sonidea.tip.096,Tip $96,Support Sonidea (consumable).,96.00
com.iacompa.sonidea.tip.097,Tip $97,Support Sonidea (consumable).,97.00
com.iacompa.sonidea.tip.098,Tip $98,Support Sonidea (consumable).,98.00
com.iacompa.sonidea.tip.099,Tip $99,Support Sonidea (consumable).,99.00
com.iacompa.sonidea.tip.100,Tip $100,Support Sonidea (consumable).,100.00
com.iacompa.sonidea.tip.125,Tip $125,Support Sonidea (consumable).,125.00
com.iacompa.sonidea.tip.150,Tip $150,Support Sonidea (consumable).,150.00
com.iacompa.sonidea.tip.200,Tip $200,Support Sonidea (consumable).,200.00
com.iacompa.sonidea.tip.250,Tip $250,Support Sonidea (consumable).,250.00
com.iacompa.sonidea.tip.300,Tip $300,Support Sonidea (consumable).,300.00
com.iacompa.sonidea.tip.500,Tip $500,Support Sonidea (consumable).,500.00
